Time (sec),RS_Acceleration_X,RS_Acceleration_Y,RS_Acceleration_Z
0.5,-0.05,0.97,0.03
1,-0.04,0.96,0.02
1.5,-0.04,0.95,0.04
2,-0.05,0.96,0.04
2.5,-0.03,0.95,0.03
3,-0.04,0.97,0.02
3.5,-0.05,0.98,0.01
4,-0.05,0.96,0.05
4.5,-0.04,0.97,0.04
5,-0.04,0.97,0.01
5.5,-0.05,0.96,0.03
6,-0.04,0.95,0.03
6.5,-0.04,0.97,0.02
7,-0.05,0.97,0.03
7.5,-0.05,0.96,0.04
8,-0.04,0.95,0.05
8.5,-0.05,0.97,0.04
9,-0.05,0.97,0.03
9.5,-0.05,0.96,0.05
10,-0.04,0.97,0.05
10.5,-0.05,0.96,0.04
11,-0.05,0.97,0.04
11.5,-0.05,0.97,0.05
12,-0.05,0.97,0.04
12.5,-0.05,0.97,0.04
13,-0.05,0.94,0.05
13.5,-0.04,0.97,0.04
14,-0.05,0.97,0.06
14.5,-0.05,0.97,0.03
15,-0.05,0.97,0.04
15.5,-0.05,0.96,0.04
16,-0.05,0.97,0.04
16.5,-0.05,0.97,0.05
17,-0.05,0.96,0.04
17.5,-0.05,0.97,0.04
18,-0.05,0.96,0.05
18.5,-0.05,0.97,0.04
19,-0.05,0.97,0.03
19.5,-0.06,0.97,0.04
20,-0.05,0.98,0.03
20.5,-0.05,0.97,0.04
21,-0.05,0.97,0.04
21.5,-0.05,0.96,0.04
22,-0.04,0.97,0.05
22.5,-0.05,0.97,0.04
23,-0.05,0.96,0.03
23.5,-0.04,0.96,0.06
24,-0.04,0.97,0.02
24.5,-0.04,0.97,0.05
25,-0.04,0.97,0.04
25.5,-0.04,0.99,0.04
26,-0.04,0.97,0.05
26.5,-0.05,0.96,0.05
27,-0.04,0.96,0.06
27.5,-0.03,0.97,0.04
28,-0.03,0.97,0.06
28.5,-0.03,0.96,0.07
29,-0.06,0.98,0.05
29.5,-0.05,0.99,0.03
30,-0.05,0.97,0.06
30.5,-0.02,0.97,0.06
31,-0.04,0.98,0.05
31.5,-0.03,0.97,0.06
32,-0.03,0.97,0.05
32.5,-0.03,0.96,0.07
33,-0.03,0.97,0.08
33.5,-0.03,0.97,0.06
34,-0.03,0.97,0.07
34.5,-0.03,0.97,0.09
35,-0.02,0.96,0.08
35.5,-0.02,0.96,0.06
36,-0.02,0.96,0.08
36.5,-0.02,0.97,0.08
37,-0.03,0.97,0.06
37.5,-0.02,0.97,0.06
38,-0.03,0.97,0.05
38.5,-0.02,0.97,0.05
39,-0.02,0.97,0.05
39.5,-0.02,0.96,0.05
40,-0.02,0.97,0.06
40.5,-0.02,0.97,0.06
41,-0.02,0.96,0.06
41.5,-0.02,0.96,0.07
42,-0.02,0.97,0.07
42.5,-0.03,0.97,0.06
43,-0.02,0.96,0.07
43.5,-0.02,0.97,0.06
44,-0.02,0.97,0.06
44.5,-0.02,0.96,0.07
45,-0.02,0.96,0.07
45.5,-0.02,0.97,0.06
46,-0.02,0.97,0.06
46.5,-0.03,0.97,0.06
47,-0.02,0.97,0.06
47.5,-0.02,0.97,0.07
48,-0.02,0.96,0.07
48.5,-0.02,0.96,0.05
49,-0.02,0.96,0.08
49.5,-0.02,0.97,0.06
50,-0.02,0.97,0.05
50.5,-0.02,0.96,0.07
51,-0.02,0.96,0.08
51.5,-0.02,0.97,0.08
52,-0.02,0.97,0.07
52.5,-0.02,0.97,0.08
53,-0.02,0.98,0.06
53.5,-0.02,0.96,0.08
54,-0.02,0.97,0.07
54.5,-0.02,0.97,0.06
55,-0.01,0.96,0.09
55.5,-0.02,0.97,0.07
56,-0.02,0.96,0.07
56.5,-0.01,0.96,0.08
57,-0.01,0.96,0.07
57.5,-0.02,0.97,0.07
58,-0.01,0.97,0.07
58.5,-0.01,0.97,0.07
59,-0.01,0.96,0.07
59.5,-0.02,0.97,0.08
