Time (sec),S_Acceleration_X,S_Acceleration_Y,S_Acceleration_Z
0.5,0.03,0.03,0.98
1,0.03,0.03,0.98
1.5,0.03,0.04,0.98
2,0.03,0.03,0.98
2.5,0.03,0.03,0.99
3,0.03,0.03,0.99
3.5,0.03,0.04,0.99
4,0.03,0.04,0.99
4.5,0.03,0.03,0.99
5,0.03,0.03,0.99
5.5,0.03,0.03,0.99
6,0.03,0.03,1
6.5,0.02,0.03,0.99
7,0.03,0.03,0.99
7.5,0.03,0.03,0.99
8,0.02,0.04,0.99
8.5,0.02,0.04,1
9,0.03,0.04,0.99
9.5,0.03,0.03,1
10,0.03,0.04,0.99
10.5,0.03,0.04,0.99
11,0.03,0.04,0.99
11.5,0.03,0.04,0.99
12,0.03,0.03,1
12.5,0.03,0.04,0.99
13,0.03,0.03,0.99
13.5,0.03,0.03,0.99
14,0.03,0.03,0.99
14.5,0.03,0.04,0.99
15,0.03,0.04,0.99
15.5,0.03,0.04,0.99
16,0.03,0.03,0.99
16.5,0.03,0.03,0.99
17,0.03,0.04,0.99
17.5,0.03,0.04,0.99
18,0.03,0.03,0.99
18.5,0.03,0.04,0.99
19,0.03,0.03,0.99
19.5,0.03,0.04,0.99
20,0.03,0.04,0.99
20.5,0.03,0.03,0.99
21,0.03,0.03,1
21.5,0.03,0.04,0.99
22,0.03,0.04,0.99
22.5,0.03,0.03,0.99
23,0.03,0.03,0.99
23.5,0.03,0.04,0.99
24,0.03,0.04,0.99
24.5,0.03,0.04,0.99
25,0.03,0.04,0.99
25.5,0.03,0.03,0.99
26,0.03,0.03,0.99
26.5,0.03,0.03,0.99
27,0.03,0.04,0.99
27.5,0.03,0.03,0.99
28,0.03,0.04,0.99
28.5,0.03,0.04,0.99
29,0.03,0.03,0.99
29.5,0.03,0.03,0.99
30,0.03,0.04,0.99
30.5,0.03,0.04,0.99
31,0.03,0.03,0.99
31.5,0.03,0.04,0.99
32,0.03,0.03,1
32.5,0.03,0.04,0.99
33,0.03,0.03,0.99
33.5,0.03,0.04,0.99
34,0.03,0.04,0.99
34.5,0.03,0.04,0.99
35,0.03,0.04,1
35.5,0.03,0.03,0.99
36,0.03,0.04,0.99
36.5,0.03,0.03,0.99
37,0.03,0.03,0.99
37.5,0.03,0.04,0.99
38,0.03,0.04,0.99
38.5,0.03,0.03,0.99
39,0.03,0.04,0.99
39.5,0.03,0.04,0.99
40,0.03,0.04,0.99
40.5,0.03,0.04,0.99
41,0.03,0.03,0.99
41.5,0.03,0.03,0.99
42,0.03,0.03,0.99
42.5,0.04,0.02,0.98
43,0.03,0.03,0.99
43.5,0.03,0.03,0.99
44,0.03,0.04,0.99
44.5,0.03,0.03,0.99
45,0.03,0.03,0.99
45.5,0.03,0.04,0.99
46,0.03,0.03,0.99
46.5,0.03,0.03,0.99
47,0.03,0.03,0.99
47.5,0.03,0.03,0.99
48,0.03,0.03,0.99
48.5,0.04,0.03,0.99
49,0.04,0.03,0.99
49.5,0.03,0.04,0.99
50,0.03,0.03,0.99
50.5,0.04,0.03,0.99
51,0.04,0.03,0.99
51.5,0.03,0.03,0.99
52,0.04,0.03,0.99
52.5,0.04,0.04,0.99
53,0.03,0.03,0.99
53.5,0.03,0.03,0.99
54,0.03,0.03,0.99
54.5,0.03,0.03,0.99
55,0.04,0.03,0.99
55.5,0.03,0.03,0.99
56,0.04,0.03,1
56.5,0.03,0.03,0.99
57,0.03,0.03,0.99
57.5,0.04,0.04,0.99
58,0.04,0.04,0.99
58.5,0.03,0.03,0.99
59,0.03,0.03,0.99
59.5,0.03,0.03,0.99
